Compañia,Desc. compañia,Auxiliar,Desc. auxiliar,Tercero,C.Costo,C.O. ,U.N.,Desc. Moneda alt.,Saldo inicial,Saldo final,Unnamed: 11,SCOA6DIG,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
6,FONDO DE INVERSION COLECTIVA ACCIONES GLOBALES,162825010,EN GARANTIA,,,1,99,PESOS,"495271111,0","511400000,0",,162825,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
6,FONDO DE INVERSION COLECTIVA ACCIONES GLOBALES,250105035,Revisoria Fiscal,,,1,99,PESOS,"0,0","-81040,1",,250105,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,Cuentas por pagar,Comision de administracion.,,,,
6,FONDO DE INVERSION COLECTIVA ACCIONES GLOBALES,250110015,COMISION DE ADMINISTRACION              ,,,1,99,PESOS,"-2086269,67","-1738418,05",,250110,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,Cuentas por pagar,Comision de administracion.,,,,
6,FONDO DE INVERSION COLECTIVA ACCIONES GLOBALES,253105110,CUENTA COMPENSACION,,,2,99,PESOS,"-380822292,76","-380822292,76",,253105,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,Cuentas por pagar,Acreedores varios,,,,
6,FONDO DE INVERSION COLECTIVA ACCIONES GLOBALES,253105220,CUENTA DE COMPENSACION DIVISAS,,,1,99,DÓLAR,"-54667,6","0,0",,253105,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,Cuentas por pagar,Acreedores varios,,,,
10,FIC DIVERSIFICADO MODERADO,161695150,OCCIDENTAL BANK BARBADOS LTD 509086 CTE,,,1,99,DOLARES,"2042935,64","2013714,0",,161695,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
10,FIC DIVERSIFICADO MODERADO,161795020,OTROS,,,1,99,PESOS,"4968500,0","2101500,0",,161795,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
10,FIC DIVERSIFICADO MODERADO,162825010,EN GARANTIA,,,1,99,PESOS,"325021667,0","542646111,0",,162825,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
10,FIC DIVERSIFICADO MODERADO,192595002,CUENTAS DE DEPOSITO (CUD)               ,,,1,99,PESOS,"0,0","11090,17",,192595,Activo,,Activo Corriente,Otros activos,Gatos pagados por anticipados,,,,
10,FIC DIVERSIFICADO MODERADO,225005010,DERECHO DE COMPRA SOBRE DIVISAS,,,1,99,PESOS,"0,0","2477482824,96",,,,,,,,,,,
10,FIC DIVERSIFICADO MODERADO,225020300,DERECHO VENTA TITULOS,,,1,99,PESOS,"1194315058,34","0,0",,225020,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,,,,,,
10,FIC DIVERSIFICADO MODERADO,225045300,OBLIGACION VENTA TITULOS,,,1,99,PESOS,"-1196218929,31","0,0",,225045,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,,,,,,
10,FIC DIVERSIFICADO MODERADO,250105035,REVISORIA FISCAL,,,1,99,PESOS,"0,0","-46352,92",,250105,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,Cuentas por pagar,Comision de administracion.,,,,
10,FIC DIVERSIFICADO MODERADO,250110015,COMISION DE ADMINISTRACION              ,,,1,99,PESOS,"-7442852,15","-5996785,92",,250110,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,Cuentas por pagar,Comision de administracion.,,,,
10,FIC DIVERSIFICADO MODERADO,253105220,CUENTA COMPENSACION DIVISAS,,,1,99,DOLARES,"-1452506,29","-496311,37",,253105,Total pasivo + patrimonio,Pasivo,Pasivo Corriente,Cuentas por pagar,Acreedores varios,,,,
10,FIC DIVERSIFICADO MODERADO,352505010,PARTICIPACIONES EN FDO DE INVERSIÓN COLE,,,1,99,PESOS,"-79740007421,15","-63196204833,5",,352505,Total pasivo + patrimonio,Patrimonio,,Patrimonio especiales,Participaciones en fondos de inversión colectiva,,,,
10,FIC DIVERSIFICADO MODERADO,352510010,PARTICIPACIONES POR IDENTIFICAR,,,1,99,PESOS,"-417375,97","-430846,78",,352510,Total pasivo + patrimonio,Patrimonio,,Patrimonio especiales,Participaciones en fondos de inversión colectiva,,,,
10,FIC DIVERSIFICADO MODERADO,410705105,TÍTULOS DE TESORERÍA -TES               ,,,1,99,PESOS,"0,0","-251000859,28",,410705,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Valoracion Intrumentos de Deuda,,,,
10,FIC DIVERSIFICADO MODERADO,410805300,EMISORES NACIONALES,,,1,99,PESOS,"0,0","-25611455,44",,410805,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Por aumento en el valor de mercado Inst. de Pat.,,,,
10,FIC DIVERSIFICADO MODERADO,411495001,(DM) DAVIVIENDA Cta No.482800036014,,,1,99,PESOS,"0,0","-3709331,89",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
10,FIC DIVERSIFICADO MODERADO,411495004,(DM) OCCIDENTE Cta No. 219885894,,,1,99,PESOS,"0,0","-61435721,86",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
10,FIC DIVERSIFICADO MODERADO,411495007,(DM) Davivienda Panama CTA. 10001015160,,,1,99,PESOS,"0,0","-2510794,06",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
10,FIC DIVERSIFICADO MODERADO,411495130,ALL FUNDS Cau. 1160500576000 CTE,,,1,99,DOLARES,"0,0","-288219,63",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
